Position	Classification
Product Manager (MJML) at Mailjet	Technical
Vice President of Technology - Platform Development	Business
DSW, LMSW, LMHC, DAPA, CASAC, ICDAC, CAC - Chief Compliance Officer - Director of Utilization Review	Business
SVP, Strategy & Analysis	Business
Co-Founder, Brand Manager	Business
Chair of the Technology Committee of the EAES - Member of the Executive Board	Business
General Manager, New Initiatives	Other
VP & Engineering	Business
Senior Consulting Accountant	Other
Senior VP of Client Services	Business
Founder & Chief Square	Business
Expert UX	Technical
Executive Director, Global Marketing	Sales-Marketing
Head of Private Equity Research	Business
Professor in Dept. of Electrical Engineering and Computer Science	Technical
Regional Director a.i. - West Asia	Business
Post-doctoral Fellow	Other
CIO and Partner	Technical
BDM - Melbourne	Business
Database Manager	Technical
Vice-president of finance and information technology	Business
Principal Scientist / Senior Group Leader Diagnostic Development	Technical
President - Commercial Banking	Business
China VP of Media & Marketing	Business
Director of Global Manufacturing	Business
Co-Founder & Program Directo	Business
Head of Marketing & Direct to Consumer Business	Sales-Marketing
Director of Program , Content and Coaching MonacoTech	Business
Team Member - Engineering	Technical
Director Production Operations - Disney Online	Business
Head of Member Services	Other
Variety of Finance Positions	Other
Head of delivery	Technical
Account Manager, France	Other
Vice President of Health Policy & Industry Relations	Business
Former Deputy Secretary	Other
Developer Database Applications - New Jersey	Technical
Alumni Advisory Committee Board Member	Business
Chairman of the Executive Committee for Research	Business
Group Product Development & Portfolios Manager	Technical
Co-Founder, Lead developer	Technical
Executive Forum Member	Business
Financial Trainee	Other
Advisory Board for Institute for Urban Research	Other
Head of Design at Deputy	Technical
Program Officer in Research and Policy	Technical
Independent Manufacturing & Business Development Contractor PowerOasis Ltd	Other
Direct Marketing Team Leader	Sales-Marketing
Head of Installtion & Design - Public Art	Other
VP, Business Development & Corporate Accounts	Business
Credit Analysis Intern	Other
Head-Technology	Technical
Chief Operating Officer & Clinical Director	Business
Finance positions - UK	Other
Branch Accountant	Other
Manager Portal Technique	Other
CTO Web Dev	Technical
General Manager Cyber & Corporate Security	Other
Chairman of the Board of Directors of BP Zhejiang Petroleum Sales Co. Ltd.	Business
Executive Vice-President, Chief Marketing Officer, and Chief Strategy Officer	Sales-Marketing
Managing Director, Austria	Business
Director of Home Entertainment	Business
Chief Strategic Officer and Founder	Business
Management Team	Business
EVP Individual Banking	Business
Associate Dean, School of Business	Business
Professor Emeritus, Department of Physics	Technical
COO & SVP	Business
Product Management, Alexa	Technical
Professional Development	Technical
Vice Chairman of the Board, Unilever NV	Business
Senior Manager, Facebook Marketing	Sales-Marketing
Co-Founder & VP Engineering Data	Business
Executive Chairman of the Board and Co-Founder	Business
Chairman RJ Corp	Business
Newbuild Manager	Other
Managing Principal & Co-Founder	Other
Sales Director, Emerging Markets	Sales-Marketing
CTO and EVP of Product Development	Technical
Program Advisory Board Member	Business
Director of CfA Institute	Business
Chief Mindfulness Officer	Other
PROCUREMENT and ACCOUNT MANAGER	Other
Vice President of Risk, Safety & Transportation	Business
Head of Global Partnering	Other
Vice President, Application Sales	Sales-Marketing
Contract Department Director	Business
Applications Programmer & System Administrator	Technical
Vice President of Oracle E-Business Suite Solutions	Business
CEO of UNC Health Care and dean of the UNC School of Medicine	Business
Founder, CEO & Managing Director	Business
Digital Lead - Brand Management	Other
Group General Manager of Business Development	Business
General Manager and Chief Revenue Officer	Other
Head of Security Technologies Unit	Technical
Visiting Professor in Software Engineering	Technical
Vice President Digital Product Design	Business
Managing Director Israel and VP Customer Success	Business
Co-Founder, CMO, Director of E-Commerce	Business
Director, Performance Marketing	Sales-Marketing
VP, GM Customer Contact BU	Business
Owner of Spectrum Consulting Group	Business
Director, Technology Commercialization	Business
Co-Founder&Chief Medical Officer	Business
Co-Founder & Director of Technical Product Management & Delivery	Business
Chief Product and Chief Operating Officer	Other
Field Service and Development Specialist	Other
Head, Technology Development	Technical
Co-founder: Product Management	Business
Senior Vice President and Chief Financial Officer Miami Children's Hospital Health System	Business
Accounting Manager for Facts & Comparisons	Other
CEO at red-stars.com data AG	Business
CFO & CO-FOUNDER	Business
Associate, Healthcare Investment Banking	Other
HR & Office Manager	Other
Executive Vice President and head of Planning, Development, and Transportation	Business
Instructor for Real Estate	Other
Honorary Fellow	Other
Co-founder and chairman of the board	Business
Director, Business Development & Intelligence	Business
Head of Network Solution Architecture	Technical
Head of Engineering UK	Technical
Free	Other
Investor, Ventures	Other
CEO Swfte (acquired)	Business
Program Officer for Learning Health System Initiatives,	Other
Director / Project Manager / Support Architect & Engineer	Technical
Chairman (co-founder)	Business
Developer, Designer	Technical
Software R&D Intern	Technical
Vice President Business Development & Marketing	Business
Founding Investor & Founding Chairman	Business
Director - Media Services	Business
Commercial Operations Manager/Salesforce Administrator	Sales-Marketing
Distinguished Engineer and SVP	Technical
National Sales Trainer	Sales-Marketing
Partner and Americas FinTech leader	Other
Business Process Automation Engineer	Technical
advisor and Teacher	Other
Comercial Director	Business
General Counsel EMEA APAC	Other
Head of Accounting and Human Resources	Other
Developer / Back-End Architect	Technical
Principal Engineer	Technical
Manager for IT-Communication and Social Networks	Technical
Senior Mobile Analyst	Technical
Sales & Market Development - several roles	Sales-Marketing
Technical Lead & Product Manager	Technical
Chairman And Managing Director	Business
CCO and Deputy General Counsel	Other
Partner in Charge, Government Services	Other
Senior Cyber Analyst	Technical
Managing Partner, Andreessen Horowitz	Other
Studio Owner	Business
Senior Director, Customer Success - Global Strategy and Operations	Business
Principal Architect, Network Technologies	Technical
Director, Systems and Quality Engineering	Business
Head of Marketing, Canada	Sales-Marketing
Internet Product Assistant	Other
Business Development, Corporate Marketing & Investor Relations	Business
GM - Organized Tour Department	Other
Founder and Corporate Attorney	Business
CMO Germany	Sales-Marketing
Chief Scientific Officer (Aberdeen)	Technical
Vice President and General Manager - Maryland/Delaware Region	Business
Vice-President of Project and Portfolio Management	Business
North American Liaison	Other
Head of Strategic Analysis	Other
Senior Growth Marketing Manager	Sales-Marketing
Controller & Resident Bohemian	Other
Worldwide Tech Leader	Technical
Talent Management	Other
Senior Account Executive, Automotive	Other
Regional Director (UA)	Business
Lead Portfolio Manager	Other
Board non exec	Business
Head - Product Management	Business
Clinical trial lead	Other
SVP Real Estate, Store Design & Construction	Business
VP User Growth	Business
Co Founder , CEO & Chairman	Business
Senior Vice President, Entertainment Development	Business
Chief Data Scientist, UBS Asset Management	Technical
Lead Wiki Manager	Other
Global Expansion Lead	Other
Co-Founder, Director, Interim CEO	Business
Founding Partner & CMO/COO	Business
Vice President of Wireless Engineering	Technical
Editor - Jersey City Magazine	Other
Chief Architect, EBG Nordic	Technical
Marketing Science Measurement Partner	Sales-Marketing
VP, Mobile and Communications Group General Manager, Quality, Certification, Tools & Validation	Business
Trustee of The board of Directors	Business
Sr. Data Team Lead | Artificial Intelligence	Technical
Vice President and General Manager of ASIC Product Line	Business
CEO, President and CFO	Business
Product Data Lifecycle Business Analyst	Technical
Board of Trustees of the Institute for Public Relations, Seminar Committee and Board Member	Business
Associate Professor of Computer Science and Engineering	Technical
Delivery & Procurement Director	Other
President, National Accounts Marketing	Sales-Marketing
Co-Chair, Tech Startup Committee	Technical
Board of Directors - Elbit Ultrasound Ltd. and Elbit Medical Holdings Ltd.	Business
2016 Cohort Member	Other
CTO, Innovation and Board Member	Technical
Head - European Operations	Business
Investor relations and operations manager	Other
Vice President of Client Delivery Services	Business
Tech consultant	Technical
College Music Marketing Intern	Sales-Marketing
GM USA	Other
Full-Stack Ruby Developer	Technical
Director of Venture Investments	Business
Editor - Multimedia Innovations	Other
Executive Vice President, Product Management	Business
Director, Enterprise Digital Platform	Business
Senior Vice President of the Data ONTAP Group	Business
Designer, Developer, & Visual Storyteller	Technical
Vice President of Marketing for the Cardiac and Monitoring Systems Business Unit	Sales-Marketing
Owner, Dentist	Other
Software Development & Architecture	Technical
Director of Data Analysis	Technical
Director Of Manufacturing, And Co-Founder	Business
BrandLab Evangelist, North and Central Europe	Other
EVP, Professional Services	Business
SVP & Head of Global Clinical Development	Business
General Manager of Video and Complex TV	Other
Partener	Other
Epidemiologist	Other
Clinton-Haiti Action Network, Interim Head	Other
Retail & Restaurant Director	Other
Software Test Lead	Technical
AVP, AT&T Cybersecurity Solutions	Other
S.E.O Assistant	Other
Company Secretary and General Counsel	Other
Executive Sponsor	Other
Customer Service	Other
Customer Care Associate	Other
Ecosystem Development Manager	Technical
Senior Product Manager - Visualization and Analysis at Splunk	Technical
SIEM Security Engineer	Technical
Head of Connected Services, Digital and Mobility	Business
CCO & Board Member	Other
VP of R&D/Assay Development	Business
EVP, Memory & Imaging Div.	Business
Head of SaaS Operations	Other
VP, Cloud & Operating System Infrastructure	Business
Chief Wrench	Other
Human Capital Consultant	Other
VP, Product & Marketing, TSYS Healthcare	Business
VP and Head of Silicon	Business
Executive Vice President/Treasurer	Business
Business and Organizational Development, Asia Pacific	Business
Group Managing Director & Sr. Vice President	Business
Law & Policy	Other
DATA SCIENTIST	Technical
Biotechnology Leadership	Technical
Global Head, Publisher Strategy & Business Development	Other
Holographic Production Srate	Other
Associate Professor of Pediatrics & Medicine	Other
Senior Vice President of Kraft International	Business
Chief of the Cell Biology & Metabolism Branch	Other
Director, HR & Operations	Other
Web Developer & CTO	Technical
Director of Educational Initiatives & Training	Business
CRM & MDM Project Manager	Other
Member of the Board of Directors of China Petrochemical International Co. Ltd.	Business
Co-Founder, Business Development + Growth	Business
Founder-C.E.O.	Business
Executive Vice President, General Counsel And Assistant Secretary	Business
Sr. VP, Strategic Marketing	Sales-Marketing
Client Partner Manager	Other
Manager - Strategic Planning	Other
General Manager, Iberia	Other
CFO @ Foodninja.in	Business
Board of Directors and the Audit committee	Business
Vice President of Broadband TV	Business
Representative and Editor	Other
Director of Technical Affairs	Technical
Vice-president of sales for Orange County	Sales-Marketing
Chief Executive, Canada	Business
Partnerships & Business Development	Other
Electrical Design Engineer	Technical
Director of R&D, Co-Founder	Business
Social Media, Web Advisor	Other
National Manager, Denmark	Other
Director – Internal Audit	Business
VP - Civil Affairs - Public Affairs Division - France	Business
Head of Mercedes-Benz	Business
Technology Finance Architect	Technical
Co-Founder, E-Commerce	Business
VP Operating Strategy	Business
President of Electrical, Fence & Mechanical	Business
Creative Audio & Radio Producer	Other
Associate Professor in Financial Services and Associate Head of Resourcing and Planning	Other
Founding Principal and Strategic Creative Officer	Business
Co-Founder | President	Business
Head - Fashion	Other
Director, API Banking	Business
Startup Jedi & Mentor	Other
Applications Manager	Other
CEO | Chief Data Scientist	Business
Led a Disk Drive Development Program	Technical
Chief Revenues Officer	Other
Board Member	Business
Director of Electronic Communications	Business
Director, Enterprise Network Services	Business
Vice President, Search Engine Marketing	Sales-Marketing
Certified Public Accountant and Computer Audit Specialist	Technical
President of Texas Group	Business
Honorary president	Business
Director, Finance & Corporate Controller	Business
Softwa Engineer/Lead	Technical
Vice President - Venture Investments	Business
Advisory Board and Management Consultant	Other
Principal & Director of Marketing	Other
VP of US Strategy & Portfolio	Business
Professor in the Department of Biochemistry	Other
Media Investment Banker	Business
Director, U2 Data Servers & Tools	Business
Director, US DX Technical Evangelism	Technical
Partner and Team Leader	Other
Medical Strategist	Other
Director & Principal Research Scientist	Business
Manager of design and marketing	Technical
Web Application Developer - Tencent America	Technical
VP Federal Issues, Silicon Valley Leadership Group	Business
VP of Product Management, Consumer Products	Business
Tivoli Acquisition Architect	Other
Head of HR and Managing Director for Applied Materials Israel	Other
Player Support Supervisor	Other
Board Of Directcors	Business
Associate Dean, School of Medicine, Professor of Medicine, of Genetics, of Biomedical Data Science	Other
Founder & Non-executive director	Business
Senior Director Procurement, Research & Development	Technical
VP of Artificial Intelligence R&D	Business
Director, New Media & Strategic Markets	Business
Production Manager for Asea Low Voltage Division	Other
Associate Advertising Manager	Other
Head of Product Development & Design	Technical
Field Services Manager	Other
Android Lead Developer	Technical
CEO/Principal	Business
VP of US Clinical Development	Business
VP of Global Support and Services	Business
SVP, Insights	Business
Principal - Head of Security Architecture ASEAN	Technical
Director Process Engineering & Product Design	Technical
Director of Communications and Social Media	Business
Lead Design and UX	Technical
Manager Sales and Customer Success	Sales-Marketing
Analyst intern	Technical
Co-Founder, CEO, Board of Directors	Business
Senior Manager of Farm Animal Welfare	Other
Assistant Dean of Biomedical Informatics	Technical
Planning Executive	Other
Analyst	Technical
Co-Founder, Director and Head Dentist	Business
Lead Designer and Co-founder.	Technical
Head Internal Audit Group	Other
Incubation Product Manager	Technical
Director of Operations, Information Security	Business
Director, Business Development (EMEA)	Business
Founder, Creator, and Business Owner	Business
Head of Revenue Partnerships (Director)	Business
Head of Data and Insights	Technical
Culinary Scientist, Co-Founder and CSO	Business
IoT Senior Consultant	Other
Founder Of DNS Developers	Business
Deputy Head of Back Office	Other
Product and Business Director	Other
Co-Founder and VP Operations	Business
Director, Clinical Operations, Trial Support and Strategic Outsourcing	Other
Project Development and M&A	Technical
Chair/CEO-Global Exec A&R	Business
Operating Partner – Energy, Business Development & Finance	Business
CEO & Advisory Board Member	Business
VP, MARKETING	Sales-Marketing
Junior UX Consultant	Technical
Global Art Curator	Other
Board Member (PR)	Business
VP, Marketing and Business Development	Sales-Marketing
Biz Dev Associate	Other
Digital Planning Director	Business
Legal Director and Deputy Executive Director	Business
Fund Accounting Analyst	Technical
Senior Sofware Engineer	Technical
Vice President Product Management & Strategy	Business
Senior business process consultant	Business
Director of National Sales	Sales-Marketing
Senior Acquisitions Editor	Other
Sr. Demand Generation Strategist	Other
OpenStack Architect	Other
IT-Systems Analyst, Web-Development Specialist	Technical
Head of Responsible Investment	Business
Spring Framework Committer	Other
5G Platform Solution Architect	Technical
Sr. Technical Marketing Architect - VMware Cloud on AWS	Technical
Senior Systems Programmer	Technical
SVP, CourtLink Strategy and Planning	Business
President of North America & Senior Vice President of Sales, Marketing and Services	Business
Director & Chief Technology Officer	Business
National Sales Mgr	Sales-Marketing
SVP, Digital Media and Interactive Entertainment	Business
VP Marketing Products	Sales-Marketing
Google Cloud Developer Advocate	Technical
Digital Product Development & Office of Architecture	Technical
Technology Investment Banking	Technical
CEO Sogeti France, USA & India	Business
Member of the Sub-Advisory Board	Business
President & GM - Venezuela, Trinidad & The Caribbean - Caracas, Venezuela	Business
Partner of Privacy & Data Protection Practice Group	Other
CEO | Digital Strategist	Business
VP Trade Finance	Business
Operational Director, UK	Business
Planning engineer	Technical
Engineer, Technology Development - Portland	Technical
SVP, Regulatory & Quality	Business
Team Member, Transportation Group Hamilton	Other
Vice President, Business Strategy Group	Business
United Kingdom CEO	Business
Dir. WW Sales	Sales-Marketing
Vice President of Operations, Eastern Region	Business
Client Relations Assistant	Other
Regional Creative Director McCann Central Eastern Europe and Chief Creative Officer	Other
Senior Vice President – Information Technology, Chief Information Officer	Business
Head, Music	Other
Chief Impact Strategist	Other
V.P. of Operations and I.T	Business
Senior Vice President, Manufacturing/Production	Business
Technical Resource Administrator	Technical
General Manager of Residential Controls	Other
CTO, IBM Cloud	Technical
Director, Product Management and Marketing	Business
Digital Collaboration Services Director	Business
Director: Buck/Cardinal Board of Directors	Business
In-house Legal Counsel	Other
AI Business Director	Business
Professor of Biology and Physiology	Other
Analyst and Manager, Route Planning	Technical
US Services Program Manager	Other
founder&ceo	Business
Senior Vice President, VWR Services	Business
Testing	Technical
Project/Marketing Manager	Sales-Marketing
CTO, Founder at GreenOnyx Ltd.	Business
Digital Acquisitions Manager	Other
Director of Master Data Management	Business
Design co-founder	Business
Research Vice President	Technical
Partner, Head of U.S. Sustainable Growth Fund	Business
Global Digital & Social Media Director	Other
Chairman of the Board - AXA Luxembourg SA	Business
CTO and VP of engineering	Technical
Teaching Fellow / Research Fellow	Technical
Director of Services US	Business
Deputy Chairman of the Executive Board - RUSNANO Management Company LLC	Business
Consultant, Financial Inclusion Practice	Other
Manager of Quality Assurance and QC	Other
Global Commerce, Head of Craft and High End Stores	Business
Managing Director, Core Services	Other
Assistant Governor	Other
Co-founder & Biz Dev & Marketing	Business
Group Controller for HP's Software Solutions Organization	Technical
VP, IT (Westburne)	Business
Member of the Board of Directors & Co-Chairs of the Taskforce on Measurement	Business
Sr. Director West	Business
Assistant Vice Chancellor for Research	Technical
Supplementary Instructor	Other
Graduate Teaching / Research Assistant	Technical
Associate Metallurgist	Other
Director, Account Management	Other
Special Needs Health Care Assistant	Other
Director, Datacenter Operations	Business
Co-Founding Editor	Business
Mobile Applications Engineer	Technical
Co-Founder & Head of Impact	Business
General / Senior Accountant	Other
Da Nang Branch Director	Business
Faunder	Business
BI & Analytics Director, Strategic Planning	Other
Former President of Armada Oil	Business
Director - Bariatric & GI Surgeon	Business
MI Process & Planning Analyst	Other
EU Head of Marketing & Site Performance	Sales-Marketing
Vice President Exploration and Director	Business
Producer & Account Executive	Business
Director of EMSS BU	Business
Solutions Engineer - EMEA	Technical
Head of Operations Europe	Business
Global Franchise Head, Alcon Surgical	Business
Director Digital Television Products	Business
Sr. Solutions Architect	Other
Group Digital Commercial Operations Director	Business
Head - Consumer Operations	Other
Real Estate Manager	Other
Partner L1 Health	Other
Geology Manager	Other
SVP Human Resources and Administration	Business
CEO / Co-Founder	Business
Group Finance Controller, Finance Central Functions Directors	Other
Infrastructure Finance Think-Tank	Other
VP of Content, Lifestyle	Business
MD and Head of Strategy	Other
Co-Founder and Partner20	Business
SVP, Mail	Business
Team Leader for Foreign Sales	Sales-Marketing
CISO/Head of Security and Compliance	Technical
Global Lead Security Architect	Technical
CFO & Partner	Business
Founder Circle Member	Business
Technical Advisor - Data Science	Technical
Financial Executive and Management Roles	Other
Head of Mobile, Social and CRM	Other
Copy Advice Executive	Other
Co-Founder, Chief Web Officer	Business
Reception	Other
Head of DuPont’s Asia operations	Business
Director and Chartered Financial Planner	Business
Mobile Technology Development Management	Technical
Director of Marketing and Engagement of Members	Sales-Marketing
SVP & GM of Marketplaces	Business
Founder & Member of the Jury	Business
Professor Computer Science	Other
Director of Publications and Special Projects	Business
CTO of Local Classifieds	Technical
Co-Founder, CAO	Business
SaaS Product Manager	Technical
Senior Business Banking Analyst and Industry Specialist	Technical
Producer + Founder	Business
Chairman of Board and Managing Director	Business
VP, Retail Analytics	Business
VP, Blockchain Technologies	Business
Vice President of Competitive Technical Intelligence	Technical
Vice President, Investment Finance	Business
Senior Cloud Solutions Architect	Technical
Product and Bi Director	Other
Senior Developer and Operations Manager	Technical
Ph.D. research	Technical
CEO & Co-Founder, Game Designer	Business
P2P Platform Lead	Technical
Chair of Life Sciences & Dean of Undergraduate Research	Other
Enterprise CSM & Team Lead - West	Other
Director of Finance and Strategy, Global Purchasing	Business
Chief Scientific Officer & President	Technical
Director Network Research Product Management	Technical
HeadHunter	Other
Brand President, Cereality	Business
Technical Director: Midstream & Downstream	Technical
Regional VP Belgium (VP Sales and Operations)	Sales-Marketing
VP of Business Development & Co-Founder	Business
Director, Facial Nerve Clinic	Business
Sr. Game Designer	Technical
Consumer Products	Other
VP Service Strategy and Marketing	Business
Vice President, Western US	Business
Scientific Advisory Board Member	Business
Head of Web	Technical
Investro	Other
Psikolojik Danışman	Other
CTO | Founding Team Member	Technical
Managing Partner, Data Center Development	Technical
Senior Market Maanger	Other
VP - Team Leader	Business
Band Member	Other
Director of Research	Technical
Web & App Development (The Grand Poobah)	Technical
Managing Director and Segment Head	Business
CEO, Project Lider	Business
Founder, CSO, Director	Business
IT Systems and Network Director	Technical
IT Infrastructure	Technical
International Supply Growth	Other
Captain - Deputy Program Manager, Computer Resource Management Technology Program	Technical
Senior Partner and Managing Director New York	Other
Director of Innovation - AI	Technical
SVP, Public Business	Business
Systems Engineering Manager EMEAR Cloud Security	Technical
Chief Regulatory Counsel	Other
Director eHealth Innovation	Technical
Personnel Assistant	Other
Vice President, New Product Innovations	Technical
Head - Enterprise Technology Solutions	Technical
Accounting Manager	Other
CAB Director of Membership & Recruitment	Other
BI Project Manager	Technical
CMO | Chief Marketing Officer	Sales-Marketing
Consulting, Interim and Investment Services	Other
Senior contributor	Other
Usability & User Interface Lab	Other
Head of Product Design and Research and Sr. Director of Product Design	Technical
Head of Egineering	Technical
V.P. of Sales Conexant	Sales-Marketing
Managing Director, Ecommerce	Other
VP - Microsoft Solutions Practice	Other
Business Humanizer	Business
Software and UX Engineer	Technical
Assistant Development Director	Business
Principal | Director of Structural Engineering	Technical
Co-Founder & Vice-Chairman	Business
Member of the Scientific and Clinical Advisory Board	Technical
Board of Advisor Member	Other
Manager Technical Training	Technical
Professor For Digital CRM	Other
Jefferson E. Peyser Professor of Law	Other
Senior Advisor (of Counsel)	Other
Advisor (Interim Assistant Vice President and Director of Public Safety at The University of Iowa)	Other
EVP, Product Management and Marketing	Business
Protocol Engineer	Technical
VP, Brand Marketing and Creative	Sales-Marketing
Israel CEO & Co-Founder	Business
Corporate Attorney / Foley & Lardner Accelerator	Other
GM Facilities	Other
Vice Chairman of GEODIS Supervisory Board	Business
Vice President and Data & Analytics	Business
Principle Technical Marketing Engineer	Technical
Head Of Digital UX	Technical
Vocational training as communication electrician	Other
Director of Producting Marketing	Sales-Marketing
FD - Europe	Other
General Counsel and Member of the Executive Committee	Other
Tour, PR and Merchandise Manager for Artists	Other
Sr. Partner Manager	Other
Investor / Affiliate	Other
CTO | CIO	Technical
Head of Wealth Management	Technical
Vice President, Systems Engineering	Technical
VP, Software	Business
Director HR and Administration	Other
Marketing Principal	Sales-Marketing
HW and FPGA designer	Other
Co-Founder & Chief Shirt Architect	Business
President and CEO of the U.S. and Canadian operations	Business
Vice President of Manufacturing and Vice President of Backend Operations	Business
VP of Products, MongoDB	Business
VP - Marketing	Sales-Marketing
Audit and Accounting	Other
Algorithm Development Intern	Technical
Worldwide Leader in Core-Systems	Other
Director of contracts and finance	Business
Member of the Board of Directors - InDex Diagnostics AB	Business
Mobile Developer (iOS & Android)	Technical
Board Member, Treasurer & CFO	Business
Head of China Operations	Business
Manager (Various Roles)	Other
Head of Sustainable Investments	Other
Chief, Design	Technical
Senior Director, SWQA	Business
Director of the Training Center	Business
Executive Vice President and Advisor	Business
Vice President, Technology & Engineering	Business
Science Advisor, Optics	Technical
General Manager, East Region	Other
Architecture Advisory Board	Other
Director & VC Investor	Business
Solution Designer	Technical
Chairman / Various roles - Texas Railroad Commission	Business
EMEA IT Director	Technical
Vice-President Sales Communication and Training	Sales-Marketing
EVP and General Manager of Ancestry.com	Business
Associate Founder & Founding Track Chair, Finance & Entrepreneurship	Business
Education and Mentorship Chair	Other
Director/Advisor	Other
Developer Relations Program	Technical
ExExecutive Vice President and Chief Financial Officer	Business
Executive Vice President, CFO, General Counsel and Board Member	Business
President and Managing Director (Philippines)	Business
Director Berlin, Specialist for Contemporary Art	Other
Investment Director (from March 2016, before Investment Analyst)	Business
Chief Legal Officer & Executive Vice Present of Human Resources	Other
Co-Founder and Head RTD Labs	Business
Director of State Programs	Other
VP of Products, Chief Strategy Officer	Business
Global Head Affiliates	Other
Director of Sales & Country	Sales-Marketing
Associate Vice Chancellor for Research	Technical
Vice President – Sales (North America)	Sales-Marketing
Vice President Online Learning & Continuing Education	Other
Executive Director & Co-Owner	Business
Co-Founder, Board Director, Chairman, CEO	Business
CEO/Creative Director	Business
Lead Electronics Engineer	Technical
Temporary advisor	Other
Vice President, Ops Engineering	Technical
Interim Controller	Other
Director of Operations & Logistics	Business
Head of Talent Management	Other
Director, Advanced Product and Technology	Business
Led Various Product Design and Development Projects	Technical
President of Customer Segments, Cigna's National Accounts	Other
Partner Marketing Manager	Sales-Marketing
Educational Technologies Coordinator	Other
Executive Vice President/ General Counsel	Business
Vice President & General Manager GeneInsight	Business
Head of Experiences - Creative Director	Other
Founder / Marketing & Creative Director	Business
Primate Handler	Other
Senior Vice President, Products Division	Business
Senior Vice President of Corporate Strategy & Policy	Business
Startup Mentor	Other
Head Of Human Resources & Administration	Other
Vice-President of Trading	Other
Chief Product and Marketing Officer (CPO & CMO)	Other
Managing Director, Buyouts	Business
Supply Chain and Procurement Executive	Other
Chief Executive Officer and Finance Director	Business
Senior Fellow and Co-Founder	Business
Special Advisor to Chief Executive Officer	Business
IBL Work Placement	Other
Director - CTO Group	Technical
EVP, Chief Content Officer	Business
CEO, North America/APAC	Business
UI/UX Designer	Technical
Managing Director at IOMEDIA	Other
Public Safety Training Director	Business
Co-founder, Director	Business
Executive Director, Head of Business Insights	Business
Head - Replacement Business Unit	Business
Digital Marketing Team Lead & Strategies Planner	Sales-Marketing
VP of Strategy and Business Development	Business
VP Store Technology	Business
Vice President of Product and Systems Engineering	Business
Business Development Manager of New Technologies	Business
Co-Founder & Head of Engineering and Research	Business
Executive Vice President of Operations and Engineering	Business
Network Security Researcher	Technical
Director Computer Vision	Technical
Service Information Director	Other
VP, regulatory affairs and program management	Business
President of Government programs	Business
Chief Mentorship Officer	Other
VP, International Business Dev	Business
Honorary Professor of Medicine	Other
Vice President of Central Engineering and Enterprise Management for SunGard Global Services	Technical
Director of Search Engine Watch	Business
Senior Account Executive / Regional Marketing Manager	Sales-Marketing
Senior Director, Software Engineering	Technical
Mentor at The Entrepreneurial Incubator	Other
Principal Infrastructure Engineer	Technical
User Experience & Visual Design Lead	Technical
Head of Stockholm Data Parks	Other
Managing Director & Global Head of Banking Channels Technology	Business
VP finance and innovation	Business
Integrated Researcher	Technical
Chief Technology Officer, Ensemble	Technical
COO- ICQ	Business
Head of Real World Intelligence	Other
SVP & Executive GM - Mobile Network Operations Unit	Business
