Senior Video Producer and Editor	Technical
MSL Director, Oncology and Respiratory, Field Medical Affairs	Other
Head of Brand and Marketing: Consumer and Investment Management	Marketing
Co Owner, Photographer	Business
Group Managing Director	Other
Global Operations	Other
Group Vice President, Product Strategy	Business
Vice-President Finance	Business
CEO & FOUNDER tại Trùm iWatch	Business
VP, Marketing & Channel Development	Marketing
Managing Director, CSO	Business
Chief Engineer	Technical
Chief Business Officer	Business
Solutions & Strategy Director Latam	Other
CHAIRMAN & MANAGING DIRECTOR	Business
Founder and CCO	Business
Venture Capital Legal Associate	Other
Co-founder,Managing Director & CEO	Business
Head of IoT	Technical
CEO & Legal Representative	Business
Head of Global Talent Acquisition	Business
VP Engineering, Integrations	Technical
Senior Manager and Head of YouTube Partner Product Solutions EMEA	Other
Head of Global HR IT	Other
Brand Marketing	Marketing
Talent Acquisition Manager	Other
VP & Global Head	Business
Head of Pricing and Market Access	Marketing
Americas CEO	Business
Associate Director	Business
Tax Accountant, Senior Associate	Other
Vice President Operations	Business
Digital Technology Leadership Program	Business
Technical Head	Technical
VP Of Sales	Sales
Investment Banking	Business
COO, CCO, Partner and Research Analyst	Other
Sr. Product Manager Microsoft 365 Business	Business
Senior Engineer	Technical
Co Founder and Managing Director	Business
Assistant Governor and General Manager Governance and Strategy & Corporate Relations	Other
Assistant Vice President - Manufacturing	Other
Brand Guidance Domain Lead Company NameKantar	Other
Senior Account Manager (Home)	Other
EVP, Chief Medical Officer	Business
IT and IS Manager	Technical
API Developer | Server Admin	Technical
senior web developer	Technical
Senior Interface and Web Engineer	Technical
Discovery engineer	Technical
WebObjects Developer	Technical
Project Manager, PHP programmer	Technical
Client Service	Other
Big Data Engineer	Technical
COO & Co-founder	Business
Chief Investments Officer	Business
Co Founder	Business
7 Months	Other
Angel Investor	Business
Vice president, Publisher	Business
Deputy Director of Human Resources	Other
Venture Professional	Other
Head Of Manufacturing	Other
CEO - Arbitranet	Business
Managing Director for Urban Us	Other
President - Northeast Area	Other
CEE Council Member	Other
VP Mobile, Data & Engagement	Business
Linguistic developer @ Parser team	Technical
Vice President, Data & Business Development	Business
IoT professional, EMEA Global Black Belt Team, Western Europe	Technical
Founder & Senior Manager	Business
Developer, Designer, Field Analyst at Open Technology Institute, NAF	Technical
Founder -CTO	Business
Global Head of Creator Development & Management	Business
University Dean for Educational Initiatives and CEO of EdPlus at ASU	Other
Constituent Services	Other
Head of Factual Development	Technical
CEO & ounder	Business
Cofounder/Advisor	Business
President - California and Nevada Region	Other
Senior Architect, Cloud Foundry	Technical
Chief Executive Officer / Executive Director	Business
Senior Vice President, General Counsel, Allegiance Telecom Company Worldwide	Business
Marketing and business	Business
Net & Windows Azure Team Lead	Other
World-wide Program Executive	Other
NLP Engineer	Technical
Managing Director Italy	Other
VP of Technical Marketing	Marketing
Search Editor	Other
Sales & Account manager	Sales
Development and Infrastructure Lead	Technical
School of Business - Advisor	Business
Head of Innovation Mapping	Technical
SVP, Healthcare	Business
Engagement Team Manager	Other
Principal at Atmosphere Research	Other
SR VP Media & Public Relations	Business
Analyst - Equity Capital Markets	Technical
MTS Software Engineer	Technical
Mobile Software Engineer	Technical
SI/PI Consultant	Technical
Senior DevOps Specialist	Technical
Motorcycle clothing and accessories sales	Sales
Manager of regional sales	Sales
Bond and derivative sales	Sales
Commercial and Advertisign Director responsible for direct and agency sales.	Sales
Director of National Sales & Presale Support	Sales
Senior UI/UX Designer, Front-end Developer	Technical
Grants Staff Member	Other
Social Outreach Manager	Other
RE200 Mentor	Other
MD and Head of US Capital Markets	Business
Controller and Vice President	Business
Chairman of the Board of Directors - Saint-Gobain Rakennustuotteet Oy	Business
Staff UX Researcher and UX Manager (Seattle/Kirkland)	Other
Inhouse Consultant - Leader Business Support of IoF2020	Other
CEO + Partner	Business
President and Head of Business Development	Business
Vice President (New Ventures)	Business
Director of Change Management	Other
enior Portfolio Manager, Senior Analyst and Vice President	Technical
Reg. Rep II	Other
Senior Manager, Internet Strategy and Services	Other
Co- Founder, Director of Customer Success	Business
Director, Digital, Growth, GTM Ops	Business
Director of Transaction Services	Business
Assistant General Manager & Chief Administrative Officer	Other
Sales / Marketing (BZ Results)	Sales
Art Historian, Translator	Other
Deputy Director, Bureau of Consumer Protection	Other
Shoutlet Product Marketing Manager	Marketing
Show Director	Other
Director | Owner	Business
Senior Director for Business Development & Compliance	Business
Online marketing	Marketing
Vice President, Mergers and Acquisitions	Business
Consulting Engineers	Technical
Vice President, Growth Ventures & Innovation	Technical
Professor of Clinical Medicine	Other
EVP & Deputy Publisher	Business
Vice President of Worldwide Operations and Quality	Business
Director of Management Control Center	Other
Executive Teams	Other
Senior Services Director	Other
GM, Global Field and Partner Marketing	Marketing
Sr. Manager, Creative Services	Other
EVP/Managing Director	Business
In-House Corporate Communication	Other
Lab VP, VP of Product Integration (Application Lifecycle Solutions)	Business
Chief Strategy & Innovations Officer	Technical
Vice-President International Group	Business
Sales Director Europe - Smart City Solutions	Sales
Head of Publisher Development	Other
Author and Host	Other
National Managing Partner, Markets and Talent	Business
Digital IC Designer	Technical
President of Caggiati	Other
Product & User Experience Director	Other
Head of PSA Peugeot Citroen Innovation Cell @Singapore	Business
Head Android	Business
Chief Legal Officer, Senior Vice President	Business
Senior Manager of Business Analysts	Business
Apple Solutions Consultant	Other
Director of Cardiac Catheterization and Interventional Cardiology Laboratories	Other
Medical Educator and a Professor of Pharmacology	Other
Sr. Technical Acquisition Consultant	Technical
SVP, Interactive Marketing - America Online	Marketing
Engineer, Constellation Program	Technical
Head, APAC Emerging Markets	Business
Research Scientist & Head of Quantitative and Computational Finance Lab	Technical
President & Board Chairman	Business
Chief Financial Officer and Senior VP	Business
Consultant in Obstetrics & Gynaecology	Other
Radiation Oncology Resident	Other
Senior Architect, Cloud Foundry	Technical
Principal with Park Venture Advisors	Other
Bellevue/Eastside Chapter President	Other
Interim Marketing Executive	Marketing
People Operations Coordinator	Other
Mobile Development	Technical
Investment Banking Analyst	Technical
Analyst	Technical
Consulting Engineers	Technical
Digital IC Designer	Technical
Head of customer direct sales	Sales
VP sales , Europe	Sales
Regional car salesman	Sales
Head of Telco sales	Sales
sales	Sales
French sales manager	Sales
Aircraft Resale Sales Manager	Sales
